,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,priceUsd
0,bsc,pancakeswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,USDT,0x55d398326f99059fF775485246999027B3197955,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,"{""usd"":121690188.89270122,""base"":237541,""quote"":60845094}",325.9689,325.96
1,bsc,pancakeswap,FITM,0x41D52514F6eA0c90993AD36152072a144C12bDc7,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xdD123e5749BB13012aF48b4BcF891146c4f84c45,"{""usd"":132301.72410937824,""base"":25907532,""quote"":258.16}",2.071e-06,0.0006734
2,heco,mdex,WHT,0x5545153CCFcA01fbd7Dd11C0b23ba694D9509A6F,USDT,0xa71EdC38d189767582C38A3145b5873052c3e47a,0x499B6E03749B4bAF95F9E70EeD5355b138EA6C31,"{""usd"":1410403.56057628,""base"":155952,""quote"":705202}",5.5363,5.53
3,arbitrum,uniswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xC31E54c7a869B9FcBEcc14363CF510d1c41fa443,"{""usd"":15980362,""base"":6858.66,""quote"":7432377}",1627.0622,1627.06
4,polygon,uniswap,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xA374094527e1673A86dE625aa59517c5dE346d32,"{""usd"":7037957,""base"":7028722,""quote"":1579534}",1.2003,1.2
5,osmosis,osmosis,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,OSMO,uosmo,1,"{""usd"":52391914,""base"":2624807,""quote"":36906903}",14.339,14.48
6,ethereum,uniswap,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,"{""usd"":201035441,""base"":97037,""quote"":80075812}",1626.7619,1626.76
7,osmosis,osmosis,OSMO,uosmo,USDC,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,678,"{""usd"":26575752,""base"":18721848,""quote"":13287876}",1.01,1.01
8,bsc,pancakeswap,USDT,0x55d398326f99059fF775485246999027B3197955,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,"{""usd"":70732805.27123411,""base"":35319584,""quote"":35366403}",1.0052,1.0
9,polygon,quickswap,META,0xEDcFb6984a3c70501BAA8b7f5421Ae795ecC1496,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0x75d4C0318Aa29aD5dae306069131571540299421,"{""usd"":69533.456096,""base"":122313352,""quote"":34767}",0.0001572,0.0001572
10,fantom,spookyswap,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x2b4C76d0dc16BE1C31D4C1DC53bF9B45987Fc75c,"{""usd"":9341673.91909,""base"":21489981,""quote"":4670837}",0.5632,0.5632
11,polygon,uniswap,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x45dDa9cb7c25131DF268515131f647d726f50608,"{""usd"":9164990,""base"":3824.5,""quote"":4393613}",1627.1168,1627.11
12,bsc,pancakeswap,MNU,0x256Be284FEa694f1bb11f76d556a28eCb496Eee9,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xA7684Ae9de0c7Ea248617B634d440acfD8bF8DDD,"{""usd"":252733.22790165344,""base"":13990575,""quote"":493.39}",6.255e-06,0.002038
13,bsc,0x49CDaFf8F36d3021Ff6bC4F480682752C80e0F28,ETLove,0x13dB4C288FB1A921eCAFD174311Fd88b043D7632,USDT,0x55d398326f99059fF775485246999027B3197955,0x538e84eb706b02A2937C82F8b683B7fFDb97D98E,"{""usd"":84034.41096668082,""base"":914297,""quote"":42017}",0.02461,0.02461
14,avalanchedfk,defikingdoms,CRYSTAL,0x04b9dA42306B023f3572e106B11D82aAd9D32EBb,WJEWEL,0xCCb93dABD71c8Dad03Fc4CE5559dC3D89F67a260,0x48658E69D741024b4686C8f7b236D3F1D291f386,"{""usd"":855171,""base"":4947510,""quote"":2259920}",0.367,0.09943
15,bsc,pancakeswap,DEBT,0xC632F90affeC7121120275610BF17Df9963F181c,USDT,0x55d398326f99059fF775485246999027B3197955,0xBE46815E0F0123ad626B82A0166eaa32274104f5,"{""usd"":12391970.76825083,""base"":270989,""quote"":6195985}",24.528,24.52
16,bsc,pancakeswap,CAT,0x0173295183685F27C84db046B5F0bea3e683c24b,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x51d6E1dbe1Bd149259A17594e1394dE7634241ce,"{""usd"":224491.51859861222,""base"":100140245721392,""quote"":438.25}",2.021e-12,6.577e-10
17,polygon,uniswap,TXAU,0xA6da8C8999c094432c77E7d318951D34019AF24B,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x6488adFDBB85Ce0302faA6Ac72C8693ebA81df83,"{""usd"":185389,""base"":2622.56,""quote"":30325}",60.4073,60.4
18,bsc,biswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xaCAac9311b0096E04Dfe96b6D87dec867d3883Dc,"{""usd"":30605115.946569614,""base"":59789,""quote"":15302558}",326.3564,326.35
19,bsc,apeswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x51e6D27FA57373d8d4C256231241053a70Cb1d93,"{""usd"":1467012.496885862,""base"":2863.65,""quote"":733506}",324.5758,324.57
20,canto,slingshotfinance,WCANTO,0x826551890Dc65655a0Aceca109aB11AbDbD7a07B,NOTE,0x4e71A2E537B7f9D9413D3991D37958c0b5e1e503,0x1D20635535307208919f0b67c3B2065965A85aA9,"{""usd"":8285617,""base"":40586745,""quote"":4118419}",0.522,0.5363
21,cronos,vvsfinance,TONIC,0xDD73dEa10ABC2Bff99c60882EC5b2B81Bb1Dc5B2,WCRO,0x5C7F8A570d578ED84E63fdFA7b1eE72dEae1AE23,0x4B377121d968Bf7a62D51B96523d59506e7c2BF0,"{""usd"":890631,""base"":2793436232892,""quote"":7571146}",2.683e-06,2.176e-07
22,polygon,quickswap,NITRO,0x695FC8B80F344411F34bDbCb4E621aA69AdA384b,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x032d86F50Ee9C0C361f268bd7C08013465e29968,"{""usd"":347696.4847551142,""base"":13776376,""quote"":224313}",0.01053,0.01264
23,arbitrum,uniswap,GMX,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x1aEEdD3727A6431b8F070C0aFaA81Cc74f273882,"{""usd"":3655170,""base"":62120,""quote"":865.72}",0.04065,66.18
24,optimism,uniswap,ETH,0x4200000000000000000000000000000000000006,USDC,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x85149247691df622eaF1a8Bd0CaFd40BC45154a9,"{""usd"":6052277,""base"":2562.96,""quote"":2856714}",1626.7514,1626.75
25,heco,0xe0367ec2bd4Ba22B1593E4fEFcB91D29DE6C512a,WHT,0x5545153CCFcA01fbd7Dd11C0b23ba694D9509A6F,USDT,0xa71EdC38d189767582C38A3145b5873052c3e47a,0xBE1a31b5A880629B94E9C7c966b2b66191364B9f,"{""usd"":153625.81144383352,""base"":16986,""quote"":76813}",5.5407,5.54
26,polygon,quickswap,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,"{""usd"":3373374.900842,""base"":2176298,""quote"":1686687}",1.2038,1.2
27,bsc,pancakeswap,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,"{""usd"":45388690.11482948,""base"":18183,""quote"":88609}",5.0079,1629.72
