,symbol,price
0,BTC,22905.43
1,ETH,1627.34
2,BNB,325.9
4,NEO,8.77
5,LTC,96.37
6,QTUM,2.815
7,ADA,0.3929
8,XRP,0.3998
9,EOS,1.09
11,IOTA,0.2459
12,XLM,0.0904
13,ONT,0.2315
14,TRX,0.06359
15,ETC,22.72
16,ICX,0.2386
18,NULS,0.2603
19,VET,0.02404
21,BCH,134.3
30,LINK,6.971
32,WAVES,2.653
42,ONG,0.3168
43,HOT,0.002134
44,ZIL,0.02879
45,ZRX,0.2526
46,FET,0.4271
47,BAT,0.2871
48,XMR,165.9
49,ZEC,43.9
51,IOST,0.01083
52,CELR,0.01946
55,DASH,60.19
57,OMG,1.697
58,THETA,1.09
59,ENJ,0.4585
60,MITH,0.00345
61,MATIC,1.1989
62,ATOM,14.458
67,TFUEL,0.0568
69,ONE,0.02657
71,FTM,0.5618
74,ALGO,0.2591
81,DOGE,0.09201
83,DUSK,0.1603
86,ANKR,0.02846
89,WIN,9.61e-05
91,COS,0.00622
94,COCOS,0.6622
95,MTL,1.439
96,TOMO,0.434
100,DENT,0.000982
101,MFT,0.005254
102,KEY,0.003965
104,DOCK,0.02391
105,WAN,0.2144
106,FUN,0.00711
108,CHZ,0.14
109,BAND,2.089
112,BUSD,0.9998
113,BEAM,0.0652
114,XTZ,1.179
115,REN,0.101188
116,RVN,0.02959
118,HBAR,0.0702
119,NKN,0.1052
126,STX,0.302
127,KAVA,0.965
128,ARPA,0.03895
131,IOTX,0.03185
132,RLC,1.999
136,CTXC,0.3027
137,TROY,0.003155
140,VITE,0.02563
142,EUR,1.0792
144,OGN,0.1302
145,DREP,0.3726
155,WRX,0.1892
157,BTS,0.01117
159,LSK,1.197
160,BNT,0.444
162,LTO,0.1024
185,MBL,0.003572
186,COTI,0.0989
196,STPT,0.04474
197,WTC,0.2334
198,DATA,0.04214
201,SOL,23.39
203,CTSI,0.1614
205,HIVE,0.4518
206,CHR,0.1656
207,BTCUP,4.391
208,BTCDOWN,0.016769
210,ARDR,0.1007
217,MDT,0.06096
218,STMX,0.006414
219,KNC,0.895
223,LRC,0.3708
225,IQ,0.00659
226,PNT,0.1935
227,GBP,1.206
228,DGB,0.01055
229,COMP,52.31
233,SC,0.00369
234,ZEN,10.36
235,SXP,0.3109
236,SNX,2.54
238,ETHUP,4.569
239,ETHDOWN,0.4227
240,ADAUP,0.528
241,ADADOWN,0.002284
242,LINKUP,0.00685
243,LINKDOWN,0.00182
249,STORJ,0.4255
252,MKR,695.0
256,RUNE,1.777
257,MANA,0.7297
263,AUD,0.695
264,FIO,0.0379
265,BNBUP,49.92
266,BNBDOWN,0.0124
269,AVA,0.685
273,BAL,6.92
274,YFI,7610.0
276,BLZ,0.0935
282,JST,0.02813
284,SRM,0.36265
286,ANT,2.881
288,CRV,1.047
290,SAND,0.725
292,OCEAN,0.4319
294,NMR,21.26
296,DOT,6.678
298,LUNA,2.1074
300,IDEX,0.05544
301,RSR,0.004132
303,PAXG,1862.0
307,TRB,18.05
311,SUSHI,1.431
315,KSM,36.02
317,EGLD,45.11
319,DIA,0.423
323,UMA,2.077
328,XRPUP,0.1059
329,XRPDOWN,0.0001843
332,BEL,0.596
335,WING,7.54
339,CREAM,12.81
340,UNI,6.834
343,OXT,0.0958
344,SUN,0.00604
345,AVAX,20.03
350,CAKE,4.368
353,ORN,0.965
354,UTK,0.1002
355,XVS,5.8
357,ALPHA,0.1307
359,VIDT,0.04673
360,AAVE,85.8
362,NEAR,2.388
366,FIL,5.283
372,INJ,3.618
374,AERGO,0.1537
376,AUDIO,0.2653
378,CTK,0.809
383,AKRO,0.00365
384,KP3R,81.71
385,AXS,10.97
387,HARD,0.1963
391,CVP,0.4254
392,STRAX,0.611
394,FOR,0.0207
395,UNFI,5.654
397,FRONT,0.2298
399,ROSE,0.05422
402,SYS,0.1649
403,XEM,0.0405
407,PROM,4.95
408,SKL,0.03836
412,GHST,1.112
417,DF,0.0473
418,GRT,0.131
419,JUV,2.93
421,PSG,6.39
423,1INCH,0.574
424,REEF,0.003342
425,OG,2.794
426,ATM,3.18
427,ASR,2.879
428,CELO,0.808
429,RIF,0.0646
430,BTCST,1.16
434,DEXE,2.921
438,CKB,0.00368
440,TWT,1.5937
442,FIRO,2.171
443,LIT,1.001
445,SFP,0.5504
447,FXS,10.091
448,DODO,0.1548
451,BAKE,0.2383
452,UFT,0.3555
459,ACM,2.746
461,AUCTION,5.77
462,PHA,0.1831
463,TVK,0.0557
464,BADGER,3.11
466,FIS,0.4363
468,OM,0.0407
470,POND,0.01096
472,DEGO,2.706
474,ALICE,1.785
477,BIFI,485.7
478,LINA,0.007706
480,PERP,0.65724
484,SUPER,0.1346
486,CFX,0.0633
488,XVG,0.00316
491,AUTO,324.0
493,TKO,0.3521
495,PUNDIX,0.501
496,TLM,0.02336
503,MIR,0.1724
505,BAR,4.28
507,FORTH,3.66
510,BURGER,0.695
512,SLP,0.00317
514,SHIB,1.435e-05
516,ICP,5.597
518,AR,11.58
520,POLS,0.454
522,MDX,0.1015
524,MASK,4.452
526,LPT,8.79
540,ATA,0.1579
542,GTC,2.018
544,TORN,6.3
555,ERN,2.362
557,KLAY,0.2058
562,BOND,4.529
564,MLN,24.06
568,ADX,0.1897
569,QUICK,55.7
570,C98,0.2546
572,CLV,0.07505
574,QNT,137.6
576,FLOW,1.116
578,XEC,3.716e-05
580,MINA,0.766
582,RAY,0.2458
584,FARM,38.0
586,ALPACA,0.2804
590,MBOX,0.562
593,REQ,0.1076
595,WAXP,0.0798
597,TRIBE,0.2057
599,GNO,117.4
605,ELF,0.1949
