,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,priceUsd,ccxt,ccxt_ticker
0,bsc,pancakeswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,USDT,0x55d398326f99059fF775485246999027B3197955,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,"{""usd"":121690188.89270122,""base"":237541,""quote"":60845094}",325.9689,325.96,325.9,BNB
3,arbitrum,uniswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xC31E54c7a869B9FcBEcc14363CF510d1c41fa443,"{""usd"":15980362,""base"":6858.66,""quote"":7432377}",1627.0622,1627.06,1627.34,ETH
4,polygon,uniswap,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xA374094527e1673A86dE625aa59517c5dE346d32,"{""usd"":7037957,""base"":7028722,""quote"":1579534}",1.2003,1.2,1.1989,MATIC
5,osmosis,osmosis,ATOM,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,OSMO,uosmo,1,"{""usd"":52391914,""base"":2624807,""quote"":36906903}",14.339,14.48,14.458,ATOM
6,ethereum,uniswap,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,"{""usd"":201035441,""base"":97037,""quote"":80075812}",1626.7619,1626.76,1627.34,ETH
10,fantom,spookyswap,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x2b4C76d0dc16BE1C31D4C1DC53bF9B45987Fc75c,"{""usd"":9341673.91909,""base"":21489981,""quote"":4670837}",0.5632,0.5632,0.5618,FTM
11,polygon,uniswap,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x45dDa9cb7c25131DF268515131f647d726f50608,"{""usd"":9164990,""base"":3824.5,""quote"":4393613}",1627.1168,1627.11,1627.34,ETH
18,bsc,biswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xaCAac9311b0096E04Dfe96b6D87dec867d3883Dc,"{""usd"":30605115.946569614,""base"":59789,""quote"":15302558}",326.3564,326.35,325.9,BNB
19,bsc,apeswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x51e6D27FA57373d8d4C256231241053a70Cb1d93,"{""usd"":1467012.496885862,""base"":2863.65,""quote"":733506}",324.5758,324.57,325.9,BNB
24,optimism,uniswap,ETH,0x4200000000000000000000000000000000000006,USDC,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x85149247691df622eaF1a8Bd0CaFd40BC45154a9,"{""usd"":6052277,""base"":2562.96,""quote"":2856714}",1626.7514,1626.75,1627.34,ETH
26,polygon,quickswap,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,"{""usd"":3373374.900842,""base"":2176298,""quote"":1686687}",1.2038,1.2,1.1989,MATIC
27,bsc,pancakeswap,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,"{""usd"":45388690.11482948,""base"":18183,""quote"":88609}",5.0079,1629.72,1627.34,ETH
29,wanchain,wanswap,WWAN,0xdabD997aE5E4799BE47d6E69D9431615CBa28f48,wanUSDT,0x11e77E27Af5539872efEd10abaA0b408cfd9fBBD,0x0a886Dc4d584d55E9A1FA7eB0821762296b4ec0E,"{""usd"":257261,""base"":783360,""quote"":128630}",0.215,0.215,0.2144,WAN
31,arbitrum,sushiswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x905dfCD5649217c42684f23958568e533C711Aa3,"{""usd"":22442812.61182,""base"":8981.39,""quote"":11221406}",1628.9528,1628.95,1627.34,ETH
36,optimism,velodrome,ETH,0x4200000000000000000000000000000000000006,USDC,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x79c912FEF520be002c2B6e57EC4324e260f38E50,"{""usd"":1888699.477658,""base"":756.88,""quote"":944350}",1625.6748,1625.67,1627.34,ETH
37,optimism,uniswap,vETH,0x8C835DFaA34e2AE61775e80EE29E2c724c6AE2BB,vUSD,0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E04,0x36B18618c4131D8564A714fb6b4D2B1EdADc0042,"{""usd"":12657900,""base"":4407.76,""quote"":7140674}",1623.447,1623.44,1627.34,ETH
38,polygon,uniswap,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xeEF1A9507B3D505f0062f2be9453981255b503c8,"{""usd"":701812,""base"":20.96,""quote"":350243}",22904.2601,22904.26,22905.43,BTC
41,heco,mdex,ETH,0x64FF637fB478863B7468bc97D30a5bF3A428a1fD,WHT,0x5545153CCFcA01fbd7Dd11C0b23ba694D9509A6F,0x53E458aD1CFEB9582736db6BdE9aF89948e3bc3d,"{""usd"":106904.90554717075,""base"":42.83,""quote"":11821}",294.2954,1641.46,1627.34,ETH
42,arbitrum,kyberswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x26333Db71B82e2DF33d1C11158470B73E3d27072,"{""usd"":431811.81057,""base"":130.79,""quote"":215906}",1627.3686,1627.36,1627.34,ETH
44,avalanche,traderjoe,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,USDC,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,0xB5352A39C11a81FE6748993D586EC448A01f08b5,"{""usd"":2162653,""base"":167527,""quote"":232515}",20.0383,20.03,20.03,AVAX
50,fantom,equalizer,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x7547d05dFf1DA6B4A2eBB3f0833aFE3C62ABD9a1,"{""usd"":3656799.6068,""base"":8432697,""quote"":1828400}",0.5608,0.5608,0.5618,FTM
52,optimism,uniswap,vBTC,0x86f1e0420c26a858fc203A3645dD1A36868F18e5,vUSD,0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E04,0xC64f9436f8Ca50CDCC096105C62DaD52FAEb1f2e,"{""usd"":3100843,""base"":84.55,""quote"":1676307}",22843.9198,22843.91,22905.43,BTC
56,polygon,quickswap,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x479e1B71A702a595e19b6d5932CD5c863ab57ee0,"{""usd"":4110875.6477007563,""base"":699.72,""quote"":2652089}",1357.3848,1628.04,1627.34,ETH
57,bsc,pancakeswap,BTCB,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,"{""usd"":49690197.76681817,""base"":1479.81,""quote"":97020}",70.6133,22979.47,22905.43,BTC
62,bsc,pancakeswap,DOGE,0xbA2aE424d960c26247Dd6c32edC70B295c744C43,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xac109C8025F272414fd9e2faA805a583708A017f,"{""usd"":2254067.8507755147,""base"":15928105,""quote"":4400.98}",0.0002812,0.09151,0.09201,DOGE
67,ethereum,uniswap,IOTX,0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x489cEbE6Cd5DC5dcB7047A1F0D4F358a5d2fB295,"{""usd"":587521,""base"":13254435,""quote"":213.9}",2.062e-05,0.03351,0.03185,IOTX
71,ethereum,sushiswap,IQ,0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9D45081706102E7aadDD0973268457527722E274,"{""usd"":486296,""base"":56042005,""quote"":194.2}",4.013e-06,0.00652,0.00659,IQ
72,ethereum,uniswap,RSR,0x320623b8E4fF03373931769A31Fc52A4E78B5d70,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA3a9a863Ed908aa95cB17e1781Aa97E6693bF604,"{""usd"":100873,""base"":28214143,""quote"":11.74}",2.491e-06,0.004042,0.004132,RSR
76,ethereum,uniswap,BAT,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB6909B960DbbE7392D405429eB2b3649752b4838,"{""usd"":100034,""base"":288348,""quote"":40.03}",0.0001782,0.2895,0.2871,BAT
80,ethereum,uniswap,sETH2,0xFe2e637202056d30016725477c5da089Ab0A043A,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDADcF64BAbfb566785f1e9DFC4889C5e593DDdC7,"{""usd"":90848,""base"":56.25,""quote"":16.92}",0.9953,1616.19,1627.34,ETH
84,ethereum,sushiswap,OCEAN,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeE35E548C7457FcDd51aE95eD09108be660Ea374,"{""usd"":147479,""base"":398289,""quote"":59.02}",0.0002663,0.4319,0.4319,OCEAN
90,fantom,wigoswap,BTC,0x321162Cd933E2Be498Cd2267a90534A804051b11,ETH,0x74b23882a30290451A17c44f4F05243b6b58C76d,0xE3e5F47399864Ca63cDFBb22A207AFc398EFD660,"{""usd"":72210.5481071615,""base"":2.15,""quote"":28.91}",14.0572,23003.6,22905.43,BTC
92,ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeBfE63Ba0264aD639B3C41d2bfE1aD708F683bc8,"{""usd"":14884993,""base"":7361,""quote"":3884}",1.1063,1797.18,1627.34,ETH
93,polygon,quickswap,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0x4183DB4a5A1A3612B17459BA4e072aa59F302E89,"{""usd"":191362.48701789218,""base"":7.37,""quote"":95681}",23066.8165,23066.81,22905.43,BTC
96,bsc,0x71539D09D3890195dDa87A6198B98B75211b72F3,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xdC8a61ED63671fD7FeFB392bA4b35935fB27cd77,"{""usd"":316883.0944437139,""base"":618.86,""quote"":158466}",325.5619,325.56,325.9,BNB
99,bsc,pancakeswap,WAVAX,0x96412902aa9aFf61E13f085e70D3152C6ef2a817,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x8DD90a00D915425C3C5fdA4FA6F705881226a6E8,"{""usd"":799281.5151097367,""base"":34705,""quote"":399641}",20.0479,20.04,20.03,AVAX
103,aptos,aux,WETH,0xcc8a89c8dce9693d354449f1f73e60e14e347417854f029db5bc8e7454008abb::coin::T,USDC,0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea::coin::T,aux-0xcc8a89c8dce9693d354449f1f73e60e14e347417854f029db5bc8e7454008abb-coin-t-0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea-coin-t,"{""usd"":4467255,""base"":1789,""quote"":2233628}",1626.7984,1626.79,1627.34,ETH
106,bsc,biswap,MATIC,0xCC42724C6683B7E57334c4E856f4c9965ED682bD,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x3B09e13Ca9189FBD6a196cfE5FbD477C885afBf3,"{""usd"":1335221.3544413468,""base"":860149,""quote"":2607.13}",0.003671,1.19,1.1989,MATIC
107,bsc,nomiswap,SOL,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,USDC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x5C551CA8F00E09888F0FD57C7f91CB420ad29999,"{""usd"":79806.39491285085,""base"":3039.17,""quote"":39903}",23.4057,23.4,23.39,SOL
110,avalanchedfk,defikingdoms,BTC.b,0x7516EB8B8Edfa420f540a162335eACF3ea05a247,CRYSTAL,0x04b9dA42306B023f3572e106B11D82aAd9D32EBb,0x00BD81c9bAc29a3b6aea7ABc92d2C9a3366Bb4dD,"{""usd"":261478,""base"":7.775,""quote"":1496239}",229838.8059,22775.93,22905.43,BTC
111,bsc,apeswap,LTC,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x0F12362c017Fe5101c7bBa09390f1CB729f5B318,"{""usd"":194172.78725788736,""base"":1326.73,""quote"":378.98}",0.2956,96.22,96.37,LTC
112,astar,arthswap,WETH,0x81ECac0D6Be0550A00FF064a4f9dd2400585FE9c,WASTR,0xAeaaf0e2c81Af264101B9129C00F4440cCF0F720,0x87988EbDE7E661F44eB3a586C5E0cEAB533a2d9C,"{""usd"":1065452,""base"":430.1,""quote"":13518145}",30067.4782,1625.35,1627.34,ETH
113,bsc,babyswap,SOL,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,USDT,0x55d398326f99059fF775485246999027B3197955,0xAe08C9D357731FD8d25681dE753551BE14C00405,"{""usd"":190786.86673015272,""base"":7275.61,""quote"":95393}",23.427,23.42,23.39,SOL
118,bsc,apeswap,MATIC,0xCC42724C6683B7E57334c4E856f4c9965ED682bD,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x29A4A3D77c010CE100A45831BF7e798f0f0B325D,"{""usd"":272376.8408561702,""base"":175169,""quote"":531.57}",0.003674,1.19,1.1989,MATIC
122,fantom,beethovenx,MATIC,0x40DF1Ae6074C35047BFF66675488Aa2f9f6384F3,BNB,0xD67de0e0a0Fd7b15dC8348Bb9BE742F3c5850454,0xf941ea85b73fd24a615e9ee17eb42946981ed4ee0001000000000000000005e9-0x40DF1Ae6074C35047BFF66675488Aa2f9f6384F3-0xD67de0e0a0Fd7b15dC8348Bb9BE742F3c5850454,"{""usd"":59904,""base"":38135,""quote"":116.6}",0.003726,1.24,1.1989,MATIC
128,oec,cherryswap,BTCK,0x54e4622DC504176b3BB432dCCAf504569699a7fF,ETHK,0xEF71CA2EE68F45B9Ad6F72fbdb33d707b872315C,0xC606A9c809E56276056F9aa79fD2cEc633b69Cbd,"{""usd"":143982.34212280126,""base"":4.29,""quote"":57.8}",14.0498,23012.38,22905.43,BTC
